load_id,driver_id,client_id,fuel_id,gallons_loaded,state_tax,excise_tax,note,timestamp
7b5f1dd0-cf2c-468c-8df6-c9a6d59d510e,D008,C013,F002,503.6,25.18,50.36,Likely wrong forget.,2025-03-23T21:47:00
4177127b-1679-494d-b738-39c7c9e0c4eb,D016,C027,F002,839.26,41.96,83.93,Across to arrive condition human his enter.,2025-02-03T10:44:56
c60d3a27-7750-494d-80a6-303ab9aeb3d5,D009,C014,F002,857.19,42.86,85.72,Hand green miss may and.,2025-02-09T21:59:10
90160447-47cb-4815-8f2d-c9f09e88cbe7,D003,C026,F004,770.04,38.5,77.0,Pick quite story where cover again wall.,2025-03-07T11:48:34
54112fce-7195-4166-9af2-7e56c4dd0b68,D007,C016,F002,982.39,49.12,98.24,Even total material entire.,2025-02-07T23:36:04
ce26049b-6bad-4bfe-aed6-787e64fa02b2,D019,C020,F001,182.13,9.11,18.21,Black work which receive air subject argue.,2025-01-04T20:06:20
9dcd1af1-16ad-451d-ab2f-3d6d9e2c2b8b,D018,C009,F002,173.1,8.65,17.31,World itself direction second rise relationship purpose wait.,2025-01-30T04:51:10
0d1a99bb-250c-421b-aaf2-c274cfcad711,D003,C017,F003,201.33,10.07,20.13,Building marriage two worker also cover.,2025-01-06T10:59:12
4f56056e-18d1-4737-869b-c36130387781,D004,C025,F004,992.14,49.61,99.21,Particularly plant only card.,2025-02-12T12:46:29
cffbc1da-521d-41d3-b5c7-bce3eaae7185,D002,C006,F005,973.23,48.66,97.32,Difference about dark after value book.,2025-02-19T08:04:27
be9b8abf-3767-4ad0-9f42-40b5fd99ca2b,D015,C008,F004,209.79,10.49,20.98,Boy me inside admit build.,2025-05-02T03:32:10
190cf34f-938a-4a4c-a9fb-e8bad79ecd14,D015,C030,F001,874.43,43.72,87.44,Short pull several expert court.,2025-01-16T15:02:33
2f3a1f7a-7b9c-418c-ad72-1d73bed07f95,D020,C030,F005,354.68,17.73,35.47,Fire alone not indicate.,2025-04-09T05:45:29
f34a3cdd-63d8-4dac-b394-824810f38cbe,D017,C025,F001,511.16,25.56,51.12,Able language house enough.,2025-02-08T17:14:43
ef5c27bb-03a7-4f8c-ad80-fe74b562ed8c,D020,C011,F005,557.94,27.9,55.79,Almost money arm.,2025-03-25T14:25:38
85bda5e0-551d-4f36-a434-fe61ed176f04,D008,C012,F001,658.35,32.92,65.84,Coach account director current serve cost standard.,2025-04-27T00:48:42
7351261e-520e-45ed-829f-855aad8c020c,D003,C029,F005,743.12,37.16,74.31,Join hospital leg wait.,2025-02-25T08:50:37
c1e2f65d-7e71-4d6c-a3d6-1ab410032fdb,D012,C003,F001,329.97,16.5,33.0,Southern again identify must happen.,2025-02-24T03:49:38
9832cff8-91ac-4ab6-a081-64c2d89dc594,D004,C030,F002,139.67,6.98,13.97,Purpose must party.,2025-03-26T00:44:36
937a0229-d655-4f56-b8e2-d98696415793,D012,C013,F002,440.75,22.04,44.08,The energy training national option less late.,2025-03-10T08:49:41
4a7f1a29-e440-46e3-b9e2-fa1c95129702,D006,C026,F003,781.95,39.1,78.2,Focus hotel weight large say.,2025-04-22T00:19:48
9b6aba5b-0efa-487a-b334-b91b4ef17d88,D015,C006,F004,463.62,23.18,46.36,Write fight discuss play economic executive father.,2025-04-28T04:38:12
be845ea9-ba9c-4c29-ae1b-a0ea32f9b4cf,D003,C012,F002,943.27,47.16,94.33,Such general seek.,2025-04-23T10:01:36
a68fa48a-77fd-4d76-a6d3-f69a513aec89,D002,C021,F005,796.91,39.85,79.69,Paper notice nothing best store particular country.,2025-02-23T06:10:58
b985331f-ab88-41ea-a426-66043567eb11,D005,C018,F002,399.66,19.98,39.97,Glass writer modern people.,2025-01-22T07:14:26
77569c2f-4eea-4495-9522-b5a8cdf20f0e,D010,C029,F001,428.21,21.41,42.82,Audience discover party dark.,2025-02-04T16:32:51
54018d64-7a63-4b69-a5ee-9a3f4c770760,D012,C029,F003,444.85,22.24,44.49,Site knowledge perhaps century position edge clear.,2025-01-23T12:20:05
916d7d71-6a01-4896-bcd9-1834dc01bdec,D001,C007,F005,611.42,30.57,61.14,Like property social myself during produce office plant.,2025-02-20T18:52:21
08005542-80f2-4ed9-b388-c4ccb9e0d572,D018,C026,F003,184.12,9.21,18.41,Lay budget stop image it per education.,2025-02-02T13:13:17
e8a0ffab-c75e-4cca-ba29-df80227f1ab2,D011,C018,F005,624.01,31.2,62.4,Create machine party me give.,2025-04-05T22:43:45
64927ab8-62cd-4f13-911c-628c602c1dae,D003,C030,F001,663.63,33.18,66.36,Animal reach couple against.,2025-04-15T13:26:07
679fe366-92cf-47d9-97be-35f69f8b1fac,D017,C017,F004,966.03,48.3,96.6,South senior deep fact economic use.,2025-02-03T18:00:53
98c1c7b1-d725-40fe-ad53-2823572c4c41,D004,C026,F001,723.05,36.15,72.3,Season once ahead painting.,2025-02-04T14:01:57
b9f09a78-98df-48eb-a027-08f5f7f4c59b,D010,C013,F001,805.46,40.27,80.55,Machine community professor without stand money finally collection.,2025-01-20T16:03:59
9cccc597-82d4-4a59-968a-539d7edb12ce,D015,C029,F002,489.35,24.47,48.94,Some local occur.,2025-01-21T18:32:18
2b8df8b1-5567-47a9-a149-318db3ec0e27,D004,C001,F005,601.14,30.06,60.11,Contain machine three will.,2025-02-13T15:15:56
bcd35a07-8263-49df-b484-6118753ce60a,D002,C019,F001,624.78,31.24,62.48,Difference particularly name course keep.,2025-02-12T09:17:48
504c7f93-60e1-4a29-9a90-034195ee2a6d,D018,C021,F004,626.11,31.31,62.61,Together avoid business sign.,2025-04-09T16:17:14
4c61a761-0d91-485f-bc68-cbde3b67eedf,D008,C001,F001,725.27,36.26,72.53,Live professor training seat beyond also late.,2025-04-11T03:56:37
d17c65b7-639f-4722-91c3-b70c1f8e1f21,D001,C009,F005,882.8,44.14,88.28,Bring generation some administration defense oil hand.,2025-04-04T11:03:45
66c0f6d8-2d00-48d2-bf51-8d37c7a2f9d1,D003,C030,F002,562.83,28.14,56.28,Paper including opportunity.,2025-01-16T03:33:48
c225fc9e-6188-4425-8be7-035f4d7f3be5,D020,C012,F002,452.4,22.62,45.24,Table stand represent between keep.,2025-03-10T15:34:30
6588aeaf-5593-48cb-91a7-fa61556b2b7c,D006,C004,F005,183.96,9.2,18.4,Drop fish hair.,2025-03-30T22:22:33
748a09ee-293c-48a8-bee9-9697dcc5b856,D015,C008,F004,923.47,46.17,92.35,Direction back box property life event short marriage.,2025-04-16T08:55:44
b547ddd9-27e6-488e-beb9-12631b01b8ec,D006,C026,F005,520.04,26.0,52.0,Great until name behind last.,2025-01-22T22:37:34
0da2af49-1554-45f9-9829-d13c3823a394,D012,C015,F005,310.28,15.51,31.03,Real as force home pattern.,2025-01-08T04:24:46
09098dcb-e141-4bce-af0d-e1d2a1bb521a,D002,C013,F002,141.88,7.09,14.19,Consider include herself three yes explain throw must.,2025-01-05T13:31:28
7685022d-1dad-441e-a482-af9e3f52aa08,D013,C017,F004,894.89,44.74,89.49,Issue federal type wish effort different film.,2025-03-25T18:27:12
3b82769f-0440-4154-abf6-5fe4b42283c2,D007,C020,F005,965.93,48.3,96.59,Town evening person campaign.,2025-02-21T23:21:19
5e576714-0ac8-4b2f-8c2f-796b62171ad6,D007,C003,F001,881.52,44.08,88.15,Discuss theory subject agent research would head.,2025-02-07T09:18:06
696b0148-3cd1-44e1-b4ee-51369e75a31f,D005,C021,F001,600.1,30.01,60.01,Reach piece trouble have fast positive best.,2025-02-18T03:04:44
3d96c4a7-1840-4d38-b9fc-532c022e5e59,D003,C017,F003,295.69,14.78,29.57,Our to along run.,2025-04-15T12:14:51
